Batsman,Opponent,Total Runs,Venue
MS Dhoni,Kings XI Punjab,16,Maharashtra Cricket Association Stadium
R Ashwin,Chennai Super Kings,0,Maharashtra Cricket Association Stadium
SK Raina,Kings XI Punjab,61,Maharashtra Cricket Association Stadium
SW Billings,Kings XI Punjab,0,Maharashtra Cricket Association Stadium
AT Rayudu,Sunrisers Hyderabad,0,Wankhede Stadium
B Kumar,Chennai Super Kings,7,Wankhede Stadium
CR Brathwaite,Chennai Super Kings,43,Wankhede Stadium
DJ Bravo,Sunrisers Hyderabad,7,Wankhede Stadium
DL Chahar,Sunrisers Hyderabad,10,Wankhede Stadium
F du Plessis,Sunrisers Hyderabad,67,Wankhede Stadium
Harbhajan Singh,Sunrisers Hyderabad,2,Wankhede Stadium
KS Williamson,Chennai Super Kings,24,Wankhede Stadium
MK Pandey,Chennai Super Kings,8,Wankhede Stadium
MS Dhoni,Sunrisers Hyderabad,9,Wankhede Stadium
RA Jadeja,Sunrisers Hyderabad,3,Wankhede Stadium
S Dhawan,Chennai Super Kings,0,Wankhede Stadium
SK Raina,Sunrisers Hyderabad,22,Wankhede Stadium
SN Thakur,Sunrisers Hyderabad,15,Wankhede Stadium
SP Goswami,Chennai Super Kings,12,Wankhede Stadium
SR Watson,Sunrisers Hyderabad,0,Wankhede Stadium
Shakib Al Hasan,Chennai Super Kings,12,Wankhede Stadium
YK Pathan,Chennai Super Kings,24,Wankhede Stadium
AD Russell,Rajasthan Royals,49,Eden Gardens
AM Rahane,Kolkata Knight Riders,46,Eden Gardens
CA Lynn,Rajasthan Royals,18,Eden Gardens
H Klaasen,Kolkata Knight Riders,18,Eden Gardens
JPR Scantlebury-Searles,Rajasthan Royals,2,Eden Gardens
K Gowtham,Kolkata Knight Riders,9,Eden Gardens
KD Karthik,Rajasthan Royals,52,Eden Gardens
N Rana,Rajasthan Royals,3,Eden Gardens
RA Tripathi,Kolkata Knight Riders,20,Eden Gardens
RV Uthappa,Rajasthan Royals,3,Eden Gardens
SP Narine,Rajasthan Royals,4,Eden Gardens
STR Binny,Kolkata Knight Riders,0,Eden Gardens
SV Samson,Kolkata Knight Riders,50,Eden Gardens
Shubman Gill,Rajasthan Royals,28,Eden Gardens
AD Russell,Sunrisers Hyderabad,3,Eden Gardens
B Kumar,Kolkata Knight Riders,5,Eden Gardens
CA Lynn,Sunrisers Hyderabad,48,Eden Gardens
CR Brathwaite,Kolkata Knight Riders,8,Eden Gardens
DJ Hooda,Kolkata Knight Riders,19,Eden Gardens
KD Karthik,Sunrisers Hyderabad,8,Eden Gardens
KS Williamson,Kolkata Knight Riders,3,Eden Gardens
Kuldeep Yadav,Sunrisers Hyderabad,0,Eden Gardens
N Rana,Sunrisers Hyderabad,22,Eden Gardens
PP Chawla,Sunrisers Hyderabad,12,Eden Gardens
RV Uthappa,Sunrisers Hyderabad,2,Eden Gardens
Rashid Khan,Kolkata Knight Riders,34,Eden Gardens
S Dhawan,Kolkata Knight Riders,34,Eden Gardens
SP Narine,Sunrisers Hyderabad,26,Eden Gardens
Shakib Al Hasan,Kolkata Knight Riders,28,Eden Gardens
Shivam Mavi,Sunrisers Hyderabad,6,Eden Gardens
Shubman Gill,Sunrisers Hyderabad,30,Eden Gardens
WP Saha,Kolkata Knight Riders,35,Eden Gardens
YK Pathan,Kolkata Knight Riders,3,Eden Gardens
AT Rayudu,Sunrisers Hyderabad,16,Wankhede Stadium
CR Brathwaite,Chennai Super Kings,21,Wankhede Stadium
DJ Hooda,Chennai Super Kings,3,Wankhede Stadium
F du Plessis,Sunrisers Hyderabad,10,Wankhede Stadium
KS Williamson,Chennai Super Kings,47,Wankhede Stadium
S Dhawan,Chennai Super Kings,26,Wankhede Stadium
SK Raina,Sunrisers Hyderabad,32,Wankhede Stadium
SP Goswami,Chennai Super Kings,5,Wankhede Stadium
SR Watson,Sunrisers Hyderabad,117,Wankhede Stadium
Shakib Al Hasan,Chennai Super Kings,23,Wankhede Stadium
YK Pathan,Chennai Super Kings,45,Wankhede Stadium
AB de Villiers,Chennai Super Kings,9,MA Chidambaram Stadium
AT Rayudu,Royal Challengers Bangalore,28,MA Chidambaram Stadium
C de Grandhomme,Chennai Super Kings,4,MA Chidambaram Stadium
KM Jadhav,Royal Challengers Bangalore,13,MA Chidambaram Stadium
MM Ali,Chennai Super Kings,9,MA Chidambaram Stadium
Mohammed Siraj,Chennai Super Kings,0,MA Chidambaram Stadium
Navdeep Saini,Chennai Super Kings,2,MA Chidambaram Stadium
PA Patel,Chennai Super Kings,29,MA Chidambaram Stadium
RA Jadeja,Royal Challengers Bangalore,6,MA Chidambaram Stadium
S Dube,Chennai Super Kings,2,MA Chidambaram Stadium
SK Raina,Royal Challengers Bangalore,19,MA Chidambaram Stadium
SO Hetmyer,Chennai Super Kings,0,MA Chidambaram Stadium
SR Watson,Royal Challengers Bangalore,0,MA Chidambaram Stadium
UT Yadav,Chennai Super Kings,1,MA Chidambaram Stadium
V Kohli,Chennai Super Kings,6,MA Chidambaram Stadium
YS Chahal,Chennai Super Kings,4,MA Chidambaram Stadium
AD Russell,Sunrisers Hyderabad,49,Eden Gardens
CA Lynn,Sunrisers Hyderabad,7,Eden Gardens
DA Warner,Kolkata Knight Riders,85,Eden Gardens
JM Bairstow,Kolkata Knight Riders,39,Eden Gardens
KD Karthik,Sunrisers Hyderabad,2,Eden Gardens
MK Pandey,Kolkata Knight Riders,8,Eden Gardens
N Rana,Sunrisers Hyderabad,68,Eden Gardens
RV Uthappa,Sunrisers Hyderabad,35,Eden Gardens
Shubman Gill,Sunrisers Hyderabad,18,Eden Gardens
V Shankar,Kolkata Knight Riders,40,Eden Gardens
YK Pathan,Kolkata Knight Riders,1,Eden Gardens
AR Patel,Mumbai Indians,4,Wankhede Stadium
BCJ Cutting,Delhi Capitals,3,Wankhede Stadium
CA Ingram,Mumbai Indians,47,Wankhede Stadium
HH Pandya,Delhi Capitals,0,Wankhede Stadium
KA Pollard,Delhi Capitals,21,Wankhede Stadium
KH Pandya,Delhi Capitals,32,Wankhede Stadium
KMA Paul,Mumbai Indians,3,Wankhede Stadium
MJ McClenaghan,Delhi Capitals,10,Wankhede Stadium
PP Shaw,Mumbai Indians,7,Wankhede Stadium
Q de Kock,Delhi Capitals,27,Wankhede Stadium
R Tewatia,Mumbai Indians,9,Wankhede Stadium
RG Sharma,Delhi Capitals,14,Wankhede Stadium
RR Pant,Mumbai Indians,78,Wankhede Stadium
Rasikh Salam,Delhi Capitals,5,Wankhede Stadium
S Dhawan,Mumbai Indians,43,Wankhede Stadium
SA Yadav,Delhi Capitals,2,Wankhede Stadium
SS Iyer,Mumbai Indians,16,Wankhede Stadium
Yuvraj Singh,Delhi Capitals,53,Wankhede Stadium
AM Rahane,Kings XI Punjab,27,Sawai Mansingh Stadium
BA Stokes,Kings XI Punjab,6,Sawai Mansingh Stadium
CH Gayle,Rajasthan Royals,79,Sawai Mansingh Stadium
DS Kulkarni,Kings XI Punjab,5,Sawai Mansingh Stadium
JC Archer,Kings XI Punjab,2,Sawai Mansingh Stadium
JC Buttler,Kings XI Punjab,69,Sawai Mansingh Stadium
JD Unadkat,Kings XI Punjab,1,Sawai Mansingh Stadium
K Gowtham,Kings XI Punjab,3,Sawai Mansingh Stadium
KL Rahul,Rajasthan Royals,4,Sawai Mansingh Stadium
MA Agarwal,Rajasthan Royals,22,Sawai Mansingh Stadium
Mandeep Singh,Rajasthan Royals,5,Sawai Mansingh Stadium
N Pooran,Rajasthan Royals,12,Sawai Mansingh Stadium
RA Tripathi,Kings XI Punjab,1,Sawai Mansingh Stadium
S Gopal,Kings XI Punjab,1,Sawai Mansingh Stadium
SN Khan,Rajasthan Royals,46,Sawai Mansingh Stadium
SPD Smith,Kings XI Punjab,20,Sawai Mansingh Stadium
SV Samson,Kings XI Punjab,30,Sawai Mansingh Stadium
AR Patel,Chennai Super Kings,9,Arun Jaitley Stadium
AT Rayudu,Delhi Capitals,5,Arun Jaitley Stadium
CA Ingram,Chennai Super Kings,2,Arun Jaitley Stadium
DJ Bravo,Delhi Capitals,4,Arun Jaitley Stadium
KM Jadhav,Delhi Capitals,27,Arun Jaitley Stadium
KMA Paul,Chennai Super Kings,0,Arun Jaitley Stadium
MS Dhoni,Delhi Capitals,32,Arun Jaitley Stadium
PP Shaw,Chennai Super Kings,24,Arun Jaitley Stadium
R Tewatia,Chennai Super Kings,11,Arun Jaitley Stadium
RR Pant,Chennai Super Kings,25,Arun Jaitley Stadium
S Dhawan,Chennai Super Kings,51,Arun Jaitley Stadium
SK Raina,Delhi Capitals,30,Arun Jaitley Stadium
SR Watson,Delhi Capitals,44,Arun Jaitley Stadium
SS Iyer,Chennai Super Kings,18,Arun Jaitley Stadium
AD Russell,Kings XI Punjab,48,Eden Gardens
CA Lynn,Kings XI Punjab,10,Eden Gardens
CH Gayle,Kolkata Knight Riders,20,Eden Gardens
DA Miller,Kolkata Knight Riders,59,Eden Gardens
KD Karthik,Kings XI Punjab,1,Eden Gardens
KL Rahul,Kolkata Knight Riders,1,Eden Gardens
MA Agarwal,Kolkata Knight Riders,58,Eden Gardens
Mandeep Singh,Kolkata Knight Riders,33,Eden Gardens
N Rana,Kings XI Punjab,63,Eden Gardens
RV Uthappa,Kings XI Punjab,67,Eden Gardens
SN Khan,Kolkata Knight Riders,13,Eden Gardens
SP Narine,Kings XI Punjab,24,Eden Gardens
AB de Villiers,Mumbai Indians,70,M.Chinnaswamy Stadium
C de Grandhomme,Mumbai Indians,2,M.Chinnaswamy Stadium
HH Pandya,Royal Challengers Bangalore,32,M.Chinnaswamy Stadium
JJ Bumrah,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium
KA Pollard,Royal Challengers Bangalore,5,M.Chinnaswamy Stadium
KH Pandya,Royal Challengers Bangalore,1,M.Chinnaswamy Stadium
M Markande,Royal Challengers Bangalore,6,M.Chinnaswamy Stadium
MJ McClenaghan,Royal Challengers Bangalore,1,M.Chinnaswamy Stadium
MM Ali,Mumbai Indians,13,M.Chinnaswamy Stadium
PA Patel,Mumbai Indians,31,M.Chinnaswamy Stadium
Q de Kock,Royal Challengers Bangalore,23,M.Chinnaswamy Stadium
RG Sharma,Royal Challengers Bangalore,48,M.Chinnaswamy Stadium
S Dube,Mumbai Indians,9,M.Chinnaswamy Stadium
SA Yadav,Royal Challengers Bangalore,38,M.Chinnaswamy Stadium
SO Hetmyer,Mumbai Indians,5,M.Chinnaswamy Stadium
V Kohli,Mumbai Indians,46,M.Chinnaswamy Stadium
Yuvraj Singh,Royal Challengers Bangalore,23,M.Chinnaswamy Stadium
AM Rahane,Sunrisers Hyderabad,70,Rajiv Gandhi International Stadium
BA Stokes,Sunrisers Hyderabad,16,Rajiv Gandhi International Stadium
DA Warner,Rajasthan Royals,69,Rajiv Gandhi International Stadium
JC Buttler,Sunrisers Hyderabad,5,Rajiv Gandhi International Stadium
JM Bairstow,Rajasthan Royals,45,Rajiv Gandhi International Stadium
KS Williamson,Rajasthan Royals,14,Rajiv Gandhi International Stadium
MK Pandey,Rajasthan Royals,1,Rajiv Gandhi International Stadium
Rashid Khan,Rajasthan Royals,15,Rajiv Gandhi International Stadium
SV Samson,Sunrisers Hyderabad,102,Rajiv Gandhi International Stadium
V Shankar,Rajasthan Royals,35,Rajiv Gandhi International Stadium
YK Pathan,Rajasthan Royals,16,Rajiv Gandhi International Stadium
CH Gayle,Mumbai Indians,40,Punjab Cricket Association IS Bindra Stadium
DA Miller,Mumbai Indians,15,Punjab Cricket Association IS Bindra Stadium
HH Pandya,Kings XI Punjab,31,Punjab Cricket Association IS Bindra Stadium
KA Pollard,Kings XI Punjab,7,Punjab Cricket Association IS Bindra Stadium
KH Pandya,Kings XI Punjab,10,Punjab Cricket Association IS Bindra Stadium
KL Rahul,Mumbai Indians,71,Punjab Cricket Association IS Bindra Stadium
MA Agarwal,Mumbai Indians,43,Punjab Cricket Association IS Bindra Stadium
MJ McClenaghan,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium
Q de Kock,Kings XI Punjab,60,Punjab Cricket Association IS Bindra Stadium
RG Sharma,Kings XI Punjab,32,Punjab Cricket Association IS Bindra Stadium
SA Yadav,Kings XI Punjab,11,Punjab Cricket Association IS Bindra Stadium
Yuvraj Singh,Kings XI Punjab,18,Punjab Cricket Association IS Bindra Stadium
AD Russell,Delhi Capitals,66,Arun Jaitley Stadium
CA Ingram,Kolkata Knight Riders,10,Arun Jaitley Stadium
CA Lynn,Delhi Capitals,20,Arun Jaitley Stadium
GH Vihari,Kolkata Knight Riders,2,Arun Jaitley Stadium
KD Karthik,Delhi Capitals,51,Arun Jaitley Stadium
Kuldeep Yadav,Delhi Capitals,10,Arun Jaitley Stadium
N Rana,Delhi Capitals,1,Arun Jaitley Stadium
NS Naik,Delhi Capitals,7,Arun Jaitley Stadium
PP Chawla,Delhi Capitals,12,Arun Jaitley Stadium
PP Shaw,Kolkata Knight Riders,99,Arun Jaitley Stadium
RR Pant,Kolkata Knight Riders,17,Arun Jaitley Stadium
RV Uthappa,Delhi Capitals,13,Arun Jaitley Stadium
S Dhawan,Kolkata Knight Riders,16,Arun Jaitley Stadium
SS Iyer,Kolkata Knight Riders,47,Arun Jaitley Stadium
Shubman Gill,Delhi Capitals,4,Arun Jaitley Stadium
AB de Villiers,Sunrisers Hyderabad,1,Rajiv Gandhi International Stadium
C de Grandhomme,Sunrisers Hyderabad,37,Rajiv Gandhi International Stadium
DA Warner,Royal Challengers Bangalore,100,Rajiv Gandhi International Stadium
JM Bairstow,Royal Challengers Bangalore,114,Rajiv Gandhi International Stadium
MM Ali,Sunrisers Hyderabad,2,Rajiv Gandhi International Stadium
Mohammed Siraj,Sunrisers Hyderabad,3,Rajiv Gandhi International Stadium
P Ray Barman,Sunrisers Hyderabad,19,Rajiv Gandhi International Stadium
PA Patel,Sunrisers Hyderabad,11,Rajiv Gandhi International Stadium
S Dube,Sunrisers Hyderabad,5,Rajiv Gandhi International Stadium
SO Hetmyer,Sunrisers Hyderabad,9,Rajiv Gandhi International Stadium
UT Yadav,Sunrisers Hyderabad,14,Rajiv Gandhi International Stadium
V Kohli,Sunrisers Hyderabad,3,Rajiv Gandhi International Stadium
V Shankar,Royal Challengers Bangalore,9,Rajiv Gandhi International Stadium
YK Pathan,Royal Challengers Bangalore,6,Rajiv Gandhi International Stadium
YS Chahal,Sunrisers Hyderabad,1,Rajiv Gandhi International Stadium
AM Rahane,Chennai Super Kings,0,MA Chidambaram Stadium
AT Rayudu,Rajasthan Royals,1,MA Chidambaram Stadium
BA Stokes,Chennai Super Kings,46,MA Chidambaram Stadium
DJ Bravo,Rajasthan Royals,27,MA Chidambaram Stadium
JC Archer,Chennai Super Kings,24,MA Chidambaram Stadium
JC Buttler,Chennai Super Kings,6,MA Chidambaram Stadium
K Gowtham,Chennai Super Kings,9,MA Chidambaram Stadium
KM Jadhav,Rajasthan Royals,8,MA Chidambaram Stadium
MS Dhoni,Rajasthan Royals,75,MA Chidambaram Stadium
RA Jadeja,Rajasthan Royals,8,MA Chidambaram Stadium
RA Tripathi,Chennai Super Kings,39,MA Chidambaram Stadium
S Gopal,Chennai Super Kings,0,MA Chidambaram Stadium
SK Raina,Rajasthan Royals,36,MA Chidambaram Stadium
SPD Smith,Chennai Super Kings,28,MA Chidambaram Stadium
SR Watson,Rajasthan Royals,13,MA Chidambaram Stadium
SV Samson,Chennai Super Kings,8,MA Chidambaram Stadium
Avesh Khan,Kings XI Punjab,4,Punjab Cricket Association IS Bindra Stadium
CA Ingram,Kings XI Punjab,38,Punjab Cricket Association IS Bindra Stadium
CH Morris,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium
DA Miller,Delhi Capitals,43,Punjab Cricket Association IS Bindra Stadium
GC Viljoen,Delhi Capitals,1,Punjab Cricket Association IS Bindra Stadium
GH Vihari,Kings XI Punjab,2,Punjab Cricket Association IS Bindra Stadium
HV Patel,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium
K Rabada,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium
KL Rahul,Delhi Capitals,15,Punjab Cricket Association IS Bindra Stadium
M Ashwin,Delhi Capitals,1,Punjab Cricket Association IS Bindra Stadium
MA Agarwal,Delhi Capitals,6,Punjab Cricket Association IS Bindra Stadium
Mandeep Singh,Delhi Capitals,29,Punjab Cricket Association IS Bindra Stadium
Mohammed Shami,Delhi Capitals,0,Punjab Cricket Association IS Bindra Stadium
PP Shaw,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium
R Ashwin,Delhi Capitals,3,Punjab Cricket Association IS Bindra Stadium
RR Pant,Kings XI Punjab,39,Punjab Cricket Association IS Bindra Stadium
S Dhawan,Kings XI Punjab,30,Punjab Cricket Association IS Bindra Stadium
S Lamichhane,Kings XI Punjab,0,Punjab Cricket Association IS Bindra Stadium
SM Curran,Delhi Capitals,20,Punjab Cricket Association IS Bindra Stadium
SN Khan,Delhi Capitals,39,Punjab Cricket Association IS Bindra Stadium
SS Iyer,Kings XI Punjab,28,Punjab Cricket Association IS Bindra Stadium
AB de Villiers,Rajasthan Royals,13,Sawai Mansingh Stadium
AM Rahane,Royal Challengers Bangalore,22,Sawai Mansingh Stadium
BA Stokes,Royal Challengers Bangalore,1,Sawai Mansingh Stadium
JC Buttler,Royal Challengers Bangalore,59,Sawai Mansingh Stadium
MM Ali,Rajasthan Royals,18,Sawai Mansingh Stadium
MP Stoinis,Rajasthan Royals,31,Sawai Mansingh Stadium
PA Patel,Rajasthan Royals,67,Sawai Mansingh Stadium
RA Tripathi,Royal Challengers Bangalore,34,Sawai Mansingh Stadium
SO Hetmyer,Rajasthan Royals,1,Sawai Mansingh Stadium
SPD Smith,Royal Challengers Bangalore,38,Sawai Mansingh Stadium
V Kohli,Rajasthan Royals,23,Sawai Mansingh Stadium
AT Rayudu,Mumbai Indians,0,Wankhede Stadium
DJ Bravo,Mumbai Indians,8,Wankhede Stadium
DL Chahar,Mumbai Indians,7,Wankhede Stadium
HH Pandya,Chennai Super Kings,25,Wankhede Stadium
KA Pollard,Chennai Super Kings,17,Wankhede Stadium
KH Pandya,Chennai Super Kings,42,Wankhede Stadium
KM Jadhav,Mumbai Indians,58,Wankhede Stadium
MM Sharma,Mumbai Indians,0,Wankhede Stadium
MS Dhoni,Mumbai Indians,12,Wankhede Stadium
Q de Kock,Chennai Super Kings,4,Wankhede Stadium
RA Jadeja,Mumbai Indians,1,Wankhede Stadium
RG Sharma,Chennai Super Kings,13,Wankhede Stadium
SA Yadav,Chennai Super Kings,59,Wankhede Stadium
SK Raina,Mumbai Indians,16,Wankhede Stadium
SN Thakur,Mumbai Indians,12,Wankhede Stadium
SR Watson,Mumbai Indians,5,Wankhede Stadium
Yuvraj Singh,Chennai Super Kings,4,Wankhede Stadium
AR Patel,Sunrisers Hyderabad,23,Arun Jaitley Stadium
CA Ingram,Sunrisers Hyderabad,5,Arun Jaitley Stadium
CH Morris,Sunrisers Hyderabad,17,Arun Jaitley Stadium
DA Warner,Delhi Capitals,10,Arun Jaitley Stadium
DJ Hooda,Delhi Capitals,10,Arun Jaitley Stadium
JM Bairstow,Delhi Capitals,48,Arun Jaitley Stadium
K Rabada,Sunrisers Hyderabad,3,Arun Jaitley Stadium
MK Pandey,Delhi Capitals,10,Arun Jaitley Stadium
Mohammad Nabi,Delhi Capitals,17,Arun Jaitley Stadium
PP Shaw,Sunrisers Hyderabad,11,Arun Jaitley Stadium
R Tewatia,Sunrisers Hyderabad,5,Arun Jaitley Stadium
RR Pant,Sunrisers Hyderabad,5,Arun Jaitley Stadium
S Dhawan,Sunrisers Hyderabad,12,Arun Jaitley Stadium
SS Iyer,Sunrisers Hyderabad,43,Arun Jaitley Stadium
V Shankar,Delhi Capitals,16,Arun Jaitley Stadium
YK Pathan,Delhi Capitals,9,Arun Jaitley Stadium
AB de Villiers,Kolkata Knight Riders,63,M.Chinnaswamy Stadium
AD Russell,Royal Challengers Bangalore,48,M.Chinnaswamy Stadium
CA Lynn,Royal Challengers Bangalore,43,M.Chinnaswamy Stadium
KD Karthik,Royal Challengers Bangalore,19,M.Chinnaswamy Stadium
MM Ali,Kolkata Knight Riders,0,M.Chinnaswamy Stadium
MP Stoinis,Kolkata Knight Riders,28,M.Chinnaswamy Stadium
N Rana,Royal Challengers Bangalore,37,M.Chinnaswamy Stadium
PA Patel,Kolkata Knight Riders,25,M.Chinnaswamy Stadium
RV Uthappa,Royal Challengers Bangalore,33,M.Chinnaswamy Stadium
SP Narine,Royal Challengers Bangalore,10,M.Chinnaswamy Stadium
Shubman Gill,Royal Challengers Bangalore,3,M.Chinnaswamy Stadium
V Kohli,Kolkata Knight Riders,84,M.Chinnaswamy Stadium
AT Rayudu,Kings XI Punjab,21,MA Chidambaram Stadium
CH Gayle,Chennai Super Kings,5,MA Chidambaram Stadium
DA Miller,Chennai Super Kings,6,MA Chidambaram Stadium
F du Plessis,Kings XI Punjab,54,MA Chidambaram Stadium
KL Rahul,Chennai Super Kings,55,MA Chidambaram Stadium
MA Agarwal,Chennai Super Kings,0,MA Chidambaram Stadium
MS Dhoni,Kings XI Punjab,37,MA Chidambaram Stadium
Mandeep Singh,Chennai Super Kings,1,MA Chidambaram Stadium
SK Raina,Kings XI Punjab,17,MA Chidambaram Stadium
SM Curran,Chennai Super Kings,0,MA Chidambaram Stadium
SN Khan,Chennai Super Kings,67,MA Chidambaram Stadium
SR Watson,Kings XI Punjab,26,MA Chidambaram Stadium
B Kumar,Mumbai Indians,2,Rajiv Gandhi International Stadium
DA Warner,Mumbai Indians,15,Rajiv Gandhi International Stadium
DJ Hooda,Mumbai Indians,20,Rajiv Gandhi International Stadium
HH Pandya,Sunrisers Hyderabad,14,Rajiv Gandhi International Stadium
Ishan Kishan,Sunrisers Hyderabad,17,Rajiv Gandhi International Stadium
JM Bairstow,Mumbai Indians,16,Rajiv Gandhi International Stadium
KA Pollard,Sunrisers Hyderabad,46,Rajiv Gandhi International Stadium
KH Pandya,Sunrisers Hyderabad,6,Rajiv Gandhi International Stadium
MK Pandey,Mumbai Indians,16,Rajiv Gandhi International Stadium
Mohammad Nabi,Mumbai Indians,11,Rajiv Gandhi International Stadium
Q de Kock,Sunrisers Hyderabad,19,Rajiv Gandhi International Stadium
RD Chahar,Sunrisers Hyderabad,10,Rajiv Gandhi International Stadium
RG Sharma,Sunrisers Hyderabad,11,Rajiv Gandhi International Stadium
Rashid Khan,Mumbai Indians,0,Rajiv Gandhi International Stadium
S Kaul,Mumbai Indians,0,Rajiv Gandhi International Stadium
SA Yadav,Sunrisers Hyderabad,7,Rajiv Gandhi International Stadium
Sandeep Sharma,Mumbai Indians,5,Rajiv Gandhi International Stadium
V Shankar,Mumbai Indians,5,Rajiv Gandhi International Stadium
YK Pathan,Mumbai Indians,0,Rajiv Gandhi International Stadium
AB de Villiers,Delhi Capitals,17,M.Chinnaswamy Stadium
AD Nath,Delhi Capitals,19,M.Chinnaswamy Stadium
AR Patel,Royal Challengers Bangalore,4,M.Chinnaswamy Stadium
CA Ingram,Royal Challengers Bangalore,22,M.Chinnaswamy Stadium
CH Morris,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium
MM Ali,Delhi Capitals,32,M.Chinnaswamy Stadium
MP Stoinis,Delhi Capitals,15,M.Chinnaswamy Stadium
Mohammed Siraj,Delhi Capitals,1,M.Chinnaswamy Stadium
P Negi,Delhi Capitals,0,M.Chinnaswamy Stadium
PA Patel,Delhi Capitals,9,M.Chinnaswamy Stadium
PP Shaw,Royal Challengers Bangalore,28,M.Chinnaswamy Stadium
R Tewatia,Royal Challengers Bangalore,1,M.Chinnaswamy Stadium
RR Pant,Royal Challengers Bangalore,18,M.Chinnaswamy Stadium
S Dhawan,Royal Challengers Bangalore,0,M.Chinnaswamy Stadium
SS Iyer,Royal Challengers Bangalore,67,M.Chinnaswamy Stadium
TG Southee,Delhi Capitals,9,M.Chinnaswamy Stadium
V Kohli,Delhi Capitals,41,M.Chinnaswamy Stadium
YS Chahal,Delhi Capitals,1,M.Chinnaswamy Stadium
AM Rahane,Kolkata Knight Riders,5,Sawai Mansingh Stadium
BA Stokes,Kolkata Knight Riders,7,Sawai Mansingh Stadium
CA Lynn,Rajasthan Royals,50,Sawai Mansingh Stadium
JC Buttler,Kolkata Knight Riders,37,Sawai Mansingh Stadium
RA Tripathi,Kolkata Knight Riders,6,Sawai Mansingh Stadium
RV Uthappa,Rajasthan Royals,26,Sawai Mansingh Stadium
SP Narine,Rajasthan Royals,47,Sawai Mansingh Stadium
SPD Smith,Kolkata Knight Riders,73,Sawai Mansingh Stadium
Shubman Gill,Rajasthan Royals,6,Sawai Mansingh Stadium
CH Gayle,Sunrisers Hyderabad,16,Punjab Cricket Association IS Bindra Stadium
DA Miller,Sunrisers Hyderabad,1,Punjab Cricket Association IS Bindra Stadium
DA Warner,Kings XI Punjab,70,Punjab Cricket Association IS Bindra Stadium
DJ Hooda,Kings XI Punjab,14,Punjab Cricket Association IS Bindra Stadium
JM Bairstow,Kings XI Punjab,1,Punjab Cricket Association IS Bindra Stadium
KL Rahul,Sunrisers Hyderabad,71,Punjab Cricket Association IS Bindra Stadium
MA Agarwal,Sunrisers Hyderabad,55,Punjab Cricket Association IS Bindra Stadium
MK Pandey,Kings XI Punjab,19,Punjab Cricket Association IS Bindra Stadium
Mandeep Singh,Sunrisers Hyderabad,2,Punjab Cricket Association IS Bindra Stadium
Mohammad Nabi,Kings XI Punjab,12,Punjab Cricket Association IS Bindra Stadium
SM Curran,Sunrisers Hyderabad,5,Punjab Cricket Association IS Bindra Stadium
V Shankar,Kings XI Punjab,26,Punjab Cricket Association IS Bindra Stadium
AD Russell,Chennai Super Kings,50,MA Chidambaram Stadium
AT Rayudu,Kolkata Knight Riders,21,MA Chidambaram Stadium
CA Lynn,Chennai Super Kings,0,MA Chidambaram Stadium
F du Plessis,Kolkata Knight Riders,43,MA Chidambaram Stadium
HF Gurney,Chennai Super Kings,1,MA Chidambaram Stadium
KD Karthik,Chennai Super Kings,19,MA Chidambaram Stadium
KM Jadhav,Kolkata Knight Riders,8,MA Chidambaram Stadium
Kuldeep Yadav,Chennai Super Kings,0,MA Chidambaram Stadium
M Prasidh Krishna,Chennai Super Kings,0,MA Chidambaram Stadium
N Rana,Chennai Super Kings,0,MA Chidambaram Stadium
PP Chawla,Chennai Super Kings,8,MA Chidambaram Stadium
RV Uthappa,Chennai Super Kings,11,MA Chidambaram Stadium
SK Raina,Kolkata Knight Riders,14,MA Chidambaram Stadium
SP Narine,Chennai Super Kings,6,MA Chidambaram Stadium
SR Watson,Kolkata Knight Riders,17,MA Chidambaram Stadium
Shubman Gill,Chennai Super Kings,9,MA Chidambaram Stadium
AS Joseph,Kings XI Punjab,15,Wankhede Stadium
CH Gayle,Mumbai Indians,63,Wankhede Stadium
DA Miller,Mumbai Indians,7,Wankhede Stadium
HH Pandya,Kings XI Punjab,19,Wankhede Stadium
Ishan Kishan,Kings XI Punjab,7,Wankhede Stadium
KA Pollard,Kings XI Punjab,83,Wankhede Stadium
KH Pandya,Kings XI Punjab,1,Wankhede Stadium
KK Nair,Mumbai Indians,5,Wankhede Stadium
KL Rahul,Mumbai Indians,100,Wankhede Stadium
Mandeep Singh,Mumbai Indians,7,Wankhede Stadium
Q de Kock,Kings XI Punjab,24,Wankhede Stadium
RD Chahar,Kings XI Punjab,1,Wankhede Stadium
SA Yadav,Kings XI Punjab,21,Wankhede Stadium
SD Lad,Kings XI Punjab,15,Wankhede Stadium
SM Curran,Mumbai Indians,8,Wankhede Stadium
AM Rahane,Chennai Super Kings,14,Sawai Mansingh Stadium
AT Rayudu,Rajasthan Royals,57,Sawai Mansingh Stadium
