Batsman,Opponent,Total Runs,Venue
SR Watson,Deccan Chargers,4,"Rajiv Gandhi International Stadium, Uppal"
Shahid Afridi,Rajasthan Royals,10,"Rajiv Gandhi International Stadium, Uppal"
VVS Laxman,Rajasthan Royals,16,"Rajiv Gandhi International Stadium, Uppal"
YK Pathan,Deccan Chargers,61,"Rajiv Gandhi International Stadium, Uppal"
A Nehra,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
AM Nayar,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
B Lee,Mumbai Indians,16,"Punjab Cricket Association Stadium, Mohali"
DJ Bravo,Kings XI Punjab,23,"Punjab Cricket Association Stadium, Mohali"
DPMD Jayawardene,Mumbai Indians,12,"Punjab Cricket Association Stadium, Mohali"
DS Kulkarni,Kings XI Punjab,2,"Punjab Cricket Association Stadium, Mohali"
Harbhajan Singh,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
IK Pathan,Mumbai Indians,6,"Punjab Cricket Association Stadium, Mohali"
K Goel,Mumbai Indians,18,"Punjab Cricket Association Stadium, Mohali"
KC Sangakkara,Mumbai Indians,94,"Punjab Cricket Association Stadium, Mohali"
L Ronchi,Kings XI Punjab,11,"Punjab Cricket Association Stadium, Mohali"
MA Khote,Kings XI Punjab,8,"Punjab Cricket Association Stadium, Mohali"
PP Chawla,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
RR Sarwan,Mumbai Indians,7,"Punjab Cricket Association Stadium, Mohali"
RV Uthappa,Kings XI Punjab,21,"Punjab Cricket Association Stadium, Mohali"
S Sohal,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
S Sreesanth,Mumbai Indians,0,"Punjab Cricket Association Stadium, Mohali"
SM Pollock,Kings XI Punjab,22,"Punjab Cricket Association Stadium, Mohali"
SS Tiwary,Kings XI Punjab,17,"Punjab Cricket Association Stadium, Mohali"
ST Jayasuriya,Kings XI Punjab,1,"Punjab Cricket Association Stadium, Mohali"
VRV Singh,Mumbai Indians,4,"Punjab Cricket Association Stadium, Mohali"
Yuvraj Singh,Mumbai Indians,18,"Punjab Cricket Association Stadium, Mohali"
GC Smith,Royal Challengers Bangalore,49,M Chinnaswamy Stadium
JH Kallis,Rajasthan Royals,11,M Chinnaswamy Stadium
LRPL Taylor,Rajasthan Royals,44,M Chinnaswamy Stadium
M Kaif,Royal Challengers Bangalore,4,M Chinnaswamy Stadium
M Rawat,Royal Challengers Bangalore,0,M Chinnaswamy Stadium
MV Boucher,Rajasthan Royals,4,M Chinnaswamy Stadium
P Kumar,Rajasthan Royals,34,M Chinnaswamy Stadium
R Dravid,Rajasthan Royals,0,M Chinnaswamy Stadium
R Vinay Kumar,Rajasthan Royals,1,M Chinnaswamy Stadium
S Chanderpaul,Rajasthan Royals,2,M Chinnaswamy Stadium
SB Joshi,Rajasthan Royals,3,M Chinnaswamy Stadium
SR Watson,Royal Challengers Bangalore,61,M Chinnaswamy Stadium
V Kohli,Rajasthan Royals,13,M Chinnaswamy Stadium
YK Pathan,Royal Challengers Bangalore,21,M Chinnaswamy Stadium
Z Khan,Rajasthan Royals,17,M Chinnaswamy Stadium
AB Agarkar,Chennai Super Kings,11,"MA Chidambaram Stadium, Chepauk"
BB McCullum,Chennai Super Kings,24,"MA Chidambaram Stadium, Chepauk"
DJ Hussey,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
I Sharma,Chennai Super Kings,4,"MA Chidambaram Stadium, Chepauk"
LR Shukla,Chennai Super Kings,42,"MA Chidambaram Stadium, Chepauk"
M Kartik,Chennai Super Kings,3,"MA Chidambaram Stadium, Chepauk"
ML Hayden,Kolkata Knight Riders,70,"MA Chidambaram Stadium, Chepauk"
MS Dhoni,Kolkata Knight Riders,43,"MA Chidambaram Stadium, Chepauk"
Mohammad Hafeez,Chennai Super Kings,16,"MA Chidambaram Stadium, Chepauk"
PA Patel,Kolkata Knight Riders,21,"MA Chidambaram Stadium, Chepauk"
RT Ponting,Chennai Super Kings,0,"MA Chidambaram Stadium, Chepauk"
SC Ganguly,Chennai Super Kings,12,"MA Chidambaram Stadium, Chepauk"
WP Saha,Chennai Super Kings,27,"MA Chidambaram Stadium, Chepauk"
AC Gilchrist,Mumbai Indians,109,Dr DY Patil Sports Academy
AM Nayar,Deccan Chargers,34,Dr DY Patil Sports Academy
AM Rahane,Deccan Chargers,0,Dr DY Patil Sports Academy
DJ Bravo,Deccan Chargers,34,Dr DY Patil Sports Academy
L Ronchi,Deccan Chargers,13,Dr DY Patil Sports Academy
MA Khote,Deccan Chargers,7,Dr DY Patil Sports Academy
RV Uthappa,Deccan Chargers,6,Dr DY Patil Sports Academy
SM Pollock,Deccan Chargers,31,Dr DY Patil Sports Academy
ST Jayasuriya,Deccan Chargers,18,Dr DY Patil Sports Academy
VVS Laxman,Mumbai Indians,37,Dr DY Patil Sports Academy
B Lee,Delhi Daredevils,1,"Punjab Cricket Association Stadium, Mohali"
DPMD Jayawardene,Delhi Daredevils,15,"Punjab Cricket Association Stadium, Mohali"
G Gambhir,Kings XI Punjab,18,"Punjab Cricket Association Stadium, Mohali"
IK Pathan,Delhi Daredevils,10,"Punjab Cricket Association Stadium, Mohali"
K Goel,Delhi Daredevils,1,"Punjab Cricket Association Stadium, Mohali"
KC Sangakkara,Delhi Daredevils,4,"Punjab Cricket Association Stadium, Mohali"
KD Karthik,Kings XI Punjab,24,"Punjab Cricket Association Stadium, Mohali"
MF Maharoof,Kings XI Punjab,18,"Punjab Cricket Association Stadium, Mohali"
MK Tiwary,Kings XI Punjab,39,"Punjab Cricket Association Stadium, Mohali"
R Bhatia,Kings XI Punjab,17,"Punjab Cricket Association Stadium, Mohali"
S Dhawan,Kings XI Punjab,0,"Punjab Cricket Association Stadium, Mohali"
SM Katich,Delhi Daredevils,75,"Punjab Cricket Association Stadium, Mohali"
Shoaib Malik,Kings XI Punjab,19,"Punjab Cricket Association Stadium, Mohali"
